"ID";"Titre";"Entité";"Catégorie";"Statut";"Dernière modification";"Date d'ouverture";"Priorité";"Demandeur - Demandeur";"TTR";
"18 808";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 12:56";"30-12-2024 12:56";"Moyenne";"centre-appel@ladom.fr";"";
"18 807";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:52";"30-12-2024 12:52";"Moyenne";"centre-appel@ladom.fr";"";
"18 806";"[Saint-Denis] - Passeport Mobilité Etudes (PME)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:52";"30-12-2024 12:52";"Moyenne";"centre-appel@ladom.fr";"";
"18 805";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 12:47";"30-12-2024 12:47";"Moyenne";"centre-appel@ladom.fr";"";
"18 804";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 12:46";"30-12-2024 12:46";"Moyenne";"centre-appel@ladom.fr";"";
"18 803";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 12:42";"30-12-2024 12:42";"Moyenne";"centre-appel@ladom.fr";"";
"18 802";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:36";"30-12-2024 12:36";"Moyenne";"centre-appel@ladom.fr";"";
"18 801";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:32";"30-12-2024 12:32";"Moyenne";"centre-appel@ladom.fr";"";
"18 800";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:21";"30-12-2024 12:21";"Moyenne";"centre-appel@ladom.fr";"";
"18 799";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:19";"30-12-2024 12:19";"Moyenne";"centre-appel@ladom.fr";"";
"18 798";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:19";"30-12-2024 12:19";"Moyenne";"centre-appel@ladom.fr";"";
"18 797";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:17";"30-12-2024 12:17";"Moyenne";"centre-appel@ladom.fr";"";
"18 796";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:16";"30-12-2024 12:16";"Moyenne";"centre-appel@ladom.fr";"";
"18 795";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:15";"30-12-2024 12:15";"Moyenne";"centre-appel@ladom.fr";"";
"18 794";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:05";"30-12-2024 12:05";"Moyenne";"centre-appel@ladom.fr";"";
"18 793";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 12:05";"30-12-2024 12:05";"Moyenne";"centre-appel@ladom.fr";"";
"18 791";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:04";"30-12-2024 12:04";"Moyenne";"centre-appel@ladom.fr";"";
"18 792";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:04";"30-12-2024 12:04";"Moyenne";"centre-appel@ladom.fr";"";
"18 790";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 12:02";"30-12-2024 12:02";"Moyenne";"centre-appel@ladom.fr";"";
"18 789";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 12:01";"30-12-2024 12:01";"Moyenne";"centre-appel@ladom.fr";"";
"18 759";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:59";"30-12-2024 11:59";"Moyenne";"centre-appel@ladom.fr";"";
"18 758";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:58";"30-12-2024 11:58";"Moyenne";"centre-appel@ladom.fr";"";
"18 757";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"30-12-2024 11:52";"30-12-2024 11:52";"Moyenne";"centre-appel@ladom.fr";"";
"18 756";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:50";"30-12-2024 11:50";"Moyenne";"centre-appel@ladom.fr";"";
"18 755";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:47";"30-12-2024 11:47";"Moyenne";"centre-appel@ladom.fr";"";
"18 754";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"30-12-2024 11:45";"30-12-2024 11:45";"Moyenne";"centre-appel@ladom.fr";"";
